epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5553.71,1.52461,0.85052,0.97866,0.82819,0.64372,0.72197,0.37747,1.60118,0.8448,0.97692,0.000742625,0.000742625,0.000742625
43,5682.84,1.51591,0.84921,0.97488,0.84082,0.64891,0.72747,0.38122,1.59087,0.83696,0.97509,0.00073025,0.00073025,0.00073025
44,5813.28,1.50679,0.85939,0.97223,0.79649,0.65617,0.7295,0.38251,1.58074,0.83473,0.97409,0.000717875,0.000717875,0.000717875
45,5944.59,1.49048,0.83406,0.97188,0.80542,0.67396,0.73415,0.36614,1.6499,0.83909,0.98369,0.0007055,0.0007055,0.0007055
46,6074.98,1.48922,0.83276,0.96968,0.82107,0.6644,0.72595,0.38497,1.55441,0.82828,0.96891,0.000693125,0.000693125,0.000693125
47,6201.4,1.48552,0.82267,0.9675,0.81799,0.66446,0.73391,0.39692,1.54136,0.82045,0.96179,0.00068075,0.00068075,0.00068075
48,6328.47,1.4745,0.81844,0.96854,0.81463,0.66554,0.73349,0.38668,1.56574,0.81887,0.97374,0.000668375,0.000668375,0.000668375
49,6458.11,1.46577,0.8159,0.96512,0.82546,0.66332,0.73402,0.38795,1.56473,0.8221,0.97318,0.000656,0.000656,0.000656
50,6584.17,1.48721,0.82287,0.97008,0.79981,0.67189,0.73242,0.39516,1.53305,0.81934,0.96642,0.000643625,0.000643625,0.000643625
51,6712.79,1.46422,0.80288,0.96044,0.8046,0.6643,0.73823,0.40456,1.54449,0.81205,0.97285,0.00063125,0.00063125,0.00063125
52,6839.81,1.46174,0.81209,0.9669,0.81445,0.66867,0.73487,0.39445,1.5462,0.80814,0.96218,0.000618875,0.000618875,0.000618875
53,6975.39,1.45172,0.80702,0.95596,0.81685,0.66265,0.73099,0.40298,1.52241,0.80676,0.96184,0.0006065,0.0006065,0.0006065
54,7105.65,1.44221,0.79006,0.95943,0.83851,0.66984,0.74062,0.40381,1.55168,0.80837,0.96686,0.000594125,0.000594125,0.000594125
55,7229.61,1.44584,0.79162,0.95585,0.76966,0.65157,0.7164,0.40318,1.50589,0.80633,0.96228,0.00058175,0.00058175,0.00058175
56,7352.3,1.4413,0.78774,0.95134,0.79794,0.67869,0.74017,0.40838,1.4929,0.78766,0.95332,0.000569375,0.000569375,0.000569375
57,7471.8,1.42793,0.78297,0.9529,0.83017,0.66929,0.74845,0.4105,1.50663,0.78414,0.96027,0.000557,0.000557,0.000557
58,7592.94,1.41982,0.77953,0.95225,0.8122,0.67364,0.74708,0.4043,1.56118,0.8003,0.96188,0.000544625,0.000544625,0.000544625
59,7714.63,1.40804,0.76495,0.94922,0.8476,0.67025,0.74751,0.40784,1.52711,0.78541,0.95959,0.00053225,0.00053225,0.00053225
60,7837.71,1.42439,0.77909,0.94837,0.8287,0.66167,0.74741,0.41736,1.48953,0.77743,0.96402,0.000519875,0.000519875,0.000519875
61,7957.64,1.39504,0.75864,0.94605,0.84867,0.6623,0.75092,0.42335,1.48874,0.77577,0.9599,0.0005075,0.0005075,0.0005075
62,8077.7,1.41183,0.7663,0.95381,0.82642,0.6644,0.74712,0.41993,1.49092,0.77095,0.95858,0.000495125,0.000495125,0.000495125
63,8202.25,1.4011,0.77213,0.94396,0.81126,0.67677,0.74388,0.41589,1.49109,0.76431,0.95541,0.00048275,0.00048275,0.00048275
64,8324.51,1.40136,0.76587,0.94505,0.80293,0.67931,0.74335,0.42464,1.46632,0.76565,0.95019,0.000470375,0.000470375,0.000470375
65,8444.41,1.40059,0.75587,0.94109,0.79758,0.68614,0.74735,0.42616,1.46855,0.7501,0.94785,0.000458,0.000458,0.000458
66,8564.9,1.3691,0.74514,0.93893,0.83724,0.67081,0.74924,0.42963,1.4563,0.75135,0.94517,0.000445625,0.000445625,0.000445625
67,8684.88,1.38307,0.74525,0.94095,0.80427,0.69643,0.75684,0.42904,1.48297,0.75748,0.95169,0.00043325,0.00043325,0.00043325
68,8806.56,1.3731,0.73989,0.93585,0.80828,0.68706,0.74212,0.41769,1.47911,0.76666,0.95474,0.000420875,0.000420875,0.000420875
69,8926.43,1.38834,0.74973,0.94284,0.8185,0.66634,0.7412,0.42702,1.45575,0.7453,0.95221,0.0004085,0.0004085,0.0004085
70,9052.48,1.36316,0.7329,0.93364,0.84407,0.68724,0.75629,0.42239,1.49367,0.7552,0.95312,0.000396125,0.000396125,0.000396125
71,9180.11,1.36297,0.73246,0.93561,0.82576,0.68923,0.75963,0.43073,1.45749,0.74234,0.94452,0.00038375,0.00038375,0.00038375
72,9301.32,1.34858,0.72745,0.92604,0.82111,0.68302,0.75386,0.42975,1.46005,0.74709,0.94324,0.000371375,0.000371375,0.000371375
